Region,Province,CityMun,MuniPSGC,ActiveCases
Region II: Cagayan Valley,CAGAYAN,SANTA TERESITA,PH021525000,1
Region II: Cagayan Valley,BATANES,UYUGAN,PH020906000,1
Region I: Ilocos Region,LA UNION,TUBAO,PH013320000,3
Region IV-A: CALABARZON,LAGUNA,KALAYAAN,PH043409000,1
Region IV-B: MIMAROPA,MARINDUQUE,BUENAVISTA,PH174002000,2
BARMM,MAGUINDANAO,SULTAN KUDARAT (NULING),PH153812000,5
Region XI: Davao Region,DAVAO DEL NORTE,ASUNCION (SAUG),PH112301000,2
Region VI: Western Visayas,NEGROS OCCIDENTAL,CITY OF KABANKALAN,PH064515000,1
CAR,IFUGAO,BANAUE,PH142701000,1
Region VI: Western Visayas,ILOILO,TIGBAUAN,PH063045000,1
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),KABACAN,PH124703000,1
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,GUIPOS,PH097343000,1
BARMM,MAGUINDANAO,SOUTH UPI,PH153817000,1
CAR,ABRA,BANGUED (Capital),PH140101000,1
Region VI: Western Visayas,ANTIQUE,PATNONGON,PH060612000,2
Region III: Central Luzon,BULACAN,CITY OF MEYCAUAYAN,PH031412000,7
Region IV-A: CALABARZON,RIZAL,BARAS,PH045803000,1
CARAGA,SURIGAO DEL NORTE,ALEGRIA,PH166701000,4
Region XI: Davao Region,DAVAO DEL SUR,PADADA,PH112411000,1
Region III: Central Luzon,NUEVA ECIJA,LUPAO,PH034916000,1
